Number,Station name,Latitude,Longitud
5058,BARROW ISLAND,-20.821,115.393
5061,DAMPIER SALT,-20.728,116.748
5064,SAND HILL,-22.782,119.617
5066,UAROO,-22.781,115.372
5068,BULLARA,-22.681,114.039
5069,PANNAWONICA,-21.639,116.331
5071,PINDRAL OUTCAMP,-21.344,115.936
5075,NAVY ALPHA,-21.822,114.171
5094,BARROW ISLAND AIRPORT,-20.874,115.407
6000,BIDGEMIA,-25.042,115.309
6001,BILLABALONG,-27.423,115.835
6002,BINTHALYA,-24.685,114.836
6003,BOOLATHANA,-24.652,113.694
6006,BULLARDOO,-27.855,115.673
6008,CALLAGIDDY STATION,-25.048,114.029
6009,CARDABIA,-23.104,113.804
6010,CAREY DOWNS,-25.611,115.463
6011,CARNARVON AIRPORT,-24.888,113.670
6012,CARRARANG,-26.463,113.505
6015,COORALYA,-24.445,114.078
6017,DAIRY CREEK,-25.279,115.863
6018,DIRK HARTOG ISLAND,-26.033,113.217
6019,DOORAWARRAH,-24.806,114.431
6020,EDAGGEE,-25.360,114.229
6021,EUDAMULLAH,-24.451,115.607
6022,GASCOYNE JUNCTION,-25.054,115.210
6023,GNARALOO,-23.822,113.526
6025,HAMELIN POOL,-26.399,114.166
6026,HAMELIN STATION,-26.428,114.192
6027,JIMBA JIMBA,-25.044,115.133
6031,MANGAROON,-23.915,115.618
6032,MARDATHUNA,-24.473,114.555
6033,MAROONAH,-23.480,115.548
6034,MARRON,-25.366,114.359
6035,MEADOW STATION,-26.703,114.618
6038,MIA MIA,-23.382,114.438
6039,MINILYA,-23.850,113.971
6044,DENHAM,-25.927,113.532
6045,TAMALA,-26.697,113.716
6046,TOWERA,-23.175,115.119
6047,TOWRANA,-25.405,115.227
6048,TWIN PEAKS,-27.385,115.966
6050,WANDAGEE,-23.765,114.554
6051,WANDINA,-27.986,115.631
6052,WILLIAMBURY,-23.861,115.147
6056,WOORAMEL,-25.740,114.285
6057,YALBALGO,-25.188,114.680
6058,YALLALONG,-27.428,115.515
6059,YARINGA STATION,-25.944,114.322
6060,CARBLA STATION,-26.201,114.287
6062,CARNARVON POST OFFICE,-24.886,113.656
6068,WAHROONGA,-25.491,114.398
6069,MOUNT NARRYER,-26.590,115.927
6072,EMU CREEK STATION,-23.031,115.041
6079,ELLA VALLA,-25.088,114.384
6080,NANGA,-26.256,113.806
6084,WARROORA,-23.484,113.793
6095,QUOBBA,-24.397,113.406
6103,MIDDALYA,-23.906,114.768
6105,SHARK BAY AIRPORT,-25.892,113.577
7000,BARNONG,-28.629,116.281
7003,BERINGARRA,-26.042,116.953
7006,BOOGARDIE,-28.041,117.670
7007,BOOLARDY,-26.984,116.535
7008,BRYAH,-25.506,118.798
7009,BULLARA,-27.483,117.300
7010,BUNNAWARRA,-28.606,116.572
7011,BURNERBINMAH,-28.784,117.362
7012,BUTTAH,-26.130,118.485
7014,COODARDY,-27.253,117.652
7020,ANNEAN,-26.876,118.173
7021,AUSTIN DOWNS,-27.384,117.745
7022,DAY DAWN,-27.467,117.850
7023,DOOLGUNNA,-25.686,119.226
7024,EDAH,-28.273,117.154
7025,WANNA,-23.921,116.559
7027,GABYON,-28.249,116.340
7028,WANNA,-24.047,116.218
7030,JUDAL STATION,-26.114,117.505
7033,ILLGARARIE,-24.344,119.581
7034,JINGEMARRA,-27.744,116.744
7035,KALLI,-26.894,117.121
7036,KILLARA,-26.348,118.958
7037,KIRKALOCKA,-28.556,117.780
7038,KOONMARRA,-26.275,117.784
7040,LAKESIDE,-27.596,117.750
7041,LANDOR,-25.130,116.905
7042,MADOONGA,-26.937,117.593
7043,MANFRED,-26.446,116.547
7045,MEEKATHARRA AIRPORT,-26.614,118.537
7046,MEEKATHARRA POST OFFICE,-26.593,118.488
7047,MEELINE STATION,-28.447,118.268
7048,MEKA STATION,-27.422,116.825
7049,MILEURA,-26.374,117.334
7052,MOORARIE,-25.921,117.600
7053,MOUNT AUGUSTUS,-24.309,116.911
7054,MOUNT FARMER,-27.879,117.551
7056,MOUNT JAMES,-24.857,116.895
7057,MOUNT MAGNET,-28.062,117.851
7063,MURALGARRA,-28.525,117.034
7065,NALBARRA,-28.652,117.608
7066,NANNINE,-26.900,118.400
7067,NARNDEE,-28.947,118.186
7068,NINGHAN STATION,-29.425,117.291
7069,NOONGAL,-28.123,116.829
7070,PEAK HILL,-25.638,118.713
7071,PINDATHUNA,-28.053,116.651
7072,PULLAGAROO,-29.189,117.922
7079,SYLVANIA,-23.587,120.052
7081,THUNDELARRA,-28.893,117.133
7082,TUCKANARRA,-27.119,118.084
7084,ULLAWARRA,-23.480,116.111
7085,WANARIE,-27.834,117.879
7088,WOOGALONG,-27.806,116.569
7091,YALGOO,-28.339,116.683
7092,YANDIL,-26.361,119.823
7093,YARLERWEELOR,-25.579,117.993
7094,YINNETHARRA,-24.651,116.165
7095,YOWERAGABBIE,-28.232,117.656
7099,YARRABUBBA,-27.131,118.780
7100,MOUNT PADBURY,-25.693,118.080
7101,MUNARRA,-26.282,118.693
7105,WOODLANDS,-24.808,118.111
7106,WURARGA,-28.415,116.283
7111,COBRA STATION,-24.201,116.475
7119,ASHBURTON DOWNS,-23.386,117.032
7123,COGLA DOWNS,-27.438,118.929
7124,DALGETY DOWNS,-25.281,116.208
7129,MELANGATA,-27.804,116.886
7135,MURRUM STATION,-28.275,117.392
7139,PAYNES FIND,-29.271,117.684
7146,WOGARNO,-28.383,117.682
7149,MEEKATHARRA,-26.594,118.488
7151,NEWMAN,-23.368,119.731
7153,PRAIRIE DOWNS,-23.553,119.148
7154,WYNYANGOO,-27.937,118.189
7156,TARDIE STATION,-27.958,116.338
7157,DALGARANGA,-27.774,117.016
7159,YARRAQUIN,-27.548,118.218
7160,PAROO,-26.263,119.764
7161,ERRABIDDY,-25.463,117.136
7168,OUDABUNNA,-29.067,117.757
7176,NEWMAN AERO,-23.421,119.802
7178,PARABURDOO,-23.203,117.669
7179,TANGADEE,-24.411,118.941
7180,MARYMIA,-25.039,120.006
7185,PARABURDOO AERO,-23.173,117.749
7197,CHALLA,-28.281,118.311
7600,MOUNT MAGNET AERO,-28.116,117.843
8000,AJANA,-27.961,114.634
8001,BALLA,-28.060,114.946
8002,BALLIDU,-30.597,116.771
8003,BALLIDU EAST,-30.592,116.919
8004,BALLINE,-28.006,114.221
8005,BARBERTON,-30.729,116.020
8007,PINDAWA,-28.896,115.811
8008,BERKSHIRE VALLEY,-30.583,116.135
8009,BINDI BINDI EAST,-30.629,116.386
8013,BOWGADA,-29.330,116.143
8014,DALWALLINU NORTH,-30.219,116.778
